The copyright to the intellectual property of this file is held by www.climatedata.info
Title,"Temperature, CO2 and Milankovitch cycles - EPICA",,
Source,http://www.ncdc.noaa.gov/paleo/indexice.html,,
Source,http://www1.ncdc.noaa.gov/pub/data/paleo/climate_forcing/orbital_variations/berger_insolation/,,
BP,Temperature,CO2,Milankovich
-375100,-7.699,227.973,516.26
-375000,-7.735,228.04,516.63
-374900,-7.78,228.106,516.99
-374800,-7.816,228.172,517.33
-374700,-7.863,228.238,517.67
-374600,-7.911,228.305,518.01
-374500,-7.94,228.371,518.35
-374400,-7.495,228.437,518.69
-374300,-7.176,228.504,519.02
-374200,-6.86,228.57,519.36
-374100,-6.738,228.636,519.7
-374000,-6.617,228.702,520.04
-373900,-6.49,228.769,520.38
-373800,-6.384,228.835,520.7
-373700,-6.272,228.901,521.01
-373600,-6.16,228.968,521.32
-373500,-6.068,229.034,521.64
-373400,-5.977,229.1,521.95
-373300,-5.9,229.167,522.27
-373200,-5.699,229.233,522.58
-373100,-5.526,229.299,522.9
-373000,-5.42,229.365,523.21
-372900,-5.177,229.432,523.53
-372800,-4.96,229.498,523.72
-372700,-5.18,229.564,523.92
-372600,-5.472,229.6,524.11
-372500,-5.7,229.131,524.3
-372400,-5.885,228.81,524.5
-372300,-6.11,228.488,524.69
-372200,-6.171,228.167,524.88
-372100,-6.289,227.846,525.08
-372000,-6.44,227.524,525.27
-371900,-6.428,227.203,525.47
-371800,-6.41,226.882,525.59
-371700,-6.39,226.56,525.71
-371600,-6.41,226.239,525.83
-371500,-6.435,225.918,525.95
-371400,-6.46,225.596,526.07
-371300,-6.47,225.275,526.19
-371200,-6.48,224.954,526.31
-371100,-6.49,224.6,526.43
-371000,-6.372,224.058,526.56
-370900,-6.261,223.456,526.68
-370800,-6.17,222.854,526.65
-370700,-6.545,222.252,526.63
-370600,-6.862,221.649,526.6
-370500,-7.06,221.047,526.58
-370400,-7.051,220.445,526.56
-370300,-7.044,219.843,526.53
-370200,-7.04,219.241,526.51
-370100,-6.921,218.638,526.48
-370000,-6.831,218.036,526.46
-369900,-6.77,217.434,526.43
-369800,-7.032,216.832,526.26
-369700,-7.232,216.23,526.1
-369600,-7.36,215.627,525.93
-369500,-7.378,215.025,525.76
-369400,-7.39,214.7,525.59
-369300,-7.4,213.341,525.42
-369200,-7.568,212.41,525.25
-369100,-7.703,211.479,525.08
-369000,-7.82,210.549,524.91
-368900,-7.985,209.618,524.74
-368800,-8.13,208.687,524.42
-368700,-8.29,207.756,524.11
-368600,-8.116,206.825,523.79
-368500,-7.923,205.895,523.48
-368400,-7.64,204.964,523.17
-368300,-7.595,204.033,522.85
-368200,-7.512,203.102,522.54
-368100,-7.428,202.171,522.22
-368000,-7.38,201.24,521.91
-367900,-7.076,199.9,521.59
-367800,-6.862,199.969,521.23
-367700,-6.73,200.093,520.86
-367600,-6.937,200.216,520.5
-367500,-7.087,200.339,520.14
-367400,-7.18,200.463,519.78
-367300,-7.326,200.586,519.41
-367200,-7.431,200.709,519.05
-367100,-7.5,200.833,518.69
-367000,-7.63,200.956,518.32
-366900,-7.727,201.08,517.96
-366800,-7.8,201.203,517.47
-366700,-7.668,201.326,516.99
-366600,-7.561,201.45,516.51
-366500,-7.46,201.573,516.02
-366400,-7.491,201.696,515.54
-366300,-7.52,201.82,515.05
-366200,-7.55,201.9,514.57
-366100,-7.559,202.108,514.08
-366000,-7.569,202.263,513.6
-365900,-7.58,202.417,513.12
-365800,-7.483,202.572,512.63
-365700,-7.37,202.726,512.15
-365600,-7.23,202.88,511.66
-365500,-7.263,203.035,511.18
-365400,-7.306,203.189,510.69
-365300,-7.36,203.344,510.21
-365200,-7.562,203.498,509.73
-365100,-7.834,203.652,509.24
-365000,-8.19,203.807,508.76
-364900,-8.179,203.961,508.27
-364800,-8.164,204.115,507.79
-364700,-8.149,204.27,507.3
-364600,-8.14,204.424,506.82
-364500,-7.846,204.579,506.34
-364400,-7.639,204.733,505.85
-364300,-7.46,204.887,505.37
-364200,-7.363,205.042,504.88
-364100,-7.278,205.196,504.4
-364000,-7.2,205.351,503.91
-363900,-7.327,205.505,503.43
-363800,-7.445,205.659,502.99
-363700,-7.55,205.814,502.56
-363600,-7.391,205.968,502.12
-363500,-7.247,206.123,501.69
-363400,-7.11,206.3,501.25
-363300,-6.741,206.122,500.81
-363200,-6.387,205.911,500.38
-363100,-6.07,205.701,499.94
-363000,-6.444,205.491,499.51
-362900,-6.783,205.281,499.07
-362800,-7.07,205.071,498.71
-362700,-7.541,204.861,498.34
-362600,-7.948,204.651,497.98
-362500,-8.26,204.441,497.62
-362400,-8.012,204.231,497.26
-362300,-7.811,204.021,496.89
-362200,-7.61,203.811,496.53
-362100,-7.543,203.601,496.17
-362000,-7.477,203.391,495.8
-361900,-7.4,203.181,495.44
-361800,-7.538,202.971,495.17
-361700,-7.701,202.761,494.91
-361600,-7.89,202.551,494.64
-361500,-8.025,202.341,494.37
-361400,-8.186,202.131,494.11
-361300,-8.39,201.921,493.84
-361200,-8.236,201.71,493.57
-361100,-8.024,201.5,493.31
-361000,-7.813,201.2,493.04
-360900,-7.69,200.809,492.78
-360800,-8.175,200.123,492.61
-360700,-8.517,199.437,492.44
-360600,-8.74,198.751,492.27
-360500,-8.38,198.065,492.1
-360400,-8.112,197.379,491.93
-360300,-7.84,196.693,491.76
-360200,-8.076,196.007,491.59
-360100,-8.315,195.321,491.42
-360000,-8.6,194.635,491.25
-359900,-8.415,193.949,491.08
-359800,-8.186,193.263,491.03
-359700,-7.957,192.577,490.98
-359600,-7.84,191.891,490.93
-359500,-8.243,191.205,490.89
-359400,-8.514,190.52,490.84
-359300,-8.7,189.834,490.79
-359200,-8.629,189.148,490.74
-359100,-8.575,188.462,490.69
-359000,-8.52,187.776,490.64
-358900,-8.488,187.09,490.6
-358800,-8.455,186.404,490.62
-358700,-8.41,185.8,490.64
-358600,-8.485,185.819,490.67
-358500,-8.603,185.835,490.69
-358400,-8.72,185.852,490.72
-358300,-8.8,185.868,490.74
-358200,-8.872,185.885,490.77
-358100,-8.927,185.901,490.79
-358000,-8.99,185.918,490.81
-357900,-8.977,185.934,490.84
-357800,-8.963,185.951,490.93
-357700,-8.948,185.967,491.03
-357600,-8.94,185.984,491.13
-357500,-8.836,186,491.23
-357400,-8.765,186.017,491.32
-357300,-8.7,186.034,491.42
-357200,-8.726,186.05,491.52
-357100,-8.75,186.067,491.61
-357000,-8.78,186.083,491.71
-356900,-8.731,186.1,491.81
-356800,-8.668,186.524,491.9
-356700,-8.605,186.956,492
-356600,-8.57,187.388,492.1
-356500,-8.548,187.821,492.19
-356400,-8.533,188.253,492.29
-356300,-8.52,188.685,492.39
-356200,-8.647,189.118,492.48
-356100,-8.755,189.55,492.58
-356000,-8.87,189.982,492.68
-355900,-8.87,190.415,492.78
-355800,-8.87,190.847,492.85
-355700,-8.87,191.279,492.92
-355600,-8.893,191.712,492.99
-355500,-8.932,192.144,493.07
-355400,-8.971,192.576,493.14
-355300,-9,193,493.21
-355200,-8.923,193.546,493.28
-355100,-8.861,194.081,493.36
-355000,-8.79,194.616,493.43
-354900,-8.737,195.151,493.5
-354800,-8.674,195.687,493.55
-354700,-8.58,196.222,493.6
-354600,-8.514,196.757,493.65
-354500,-8.384,197.292,493.7
-354400,-8.253,197.827,493.74
-354300,-8.15,198.363,493.79
-354200,-7.918,198.898,493.84
-354100,-7.726,199.433,493.89
-354000,-7.55,199.968,493.94
-353900,-7.696,200.503,493.99
-353800,-7.832,201.039,493.94
-353700,-7.94,201.574,493.89
-353600,-7.718,202.109,493.84
-353500,-7.532,202.644,493.79
-353400,-7.4,203.179,493.74
-353300,-7.485,203.714,493.7
-353200,-7.551,204.25,493.65
-353100,-7.59,204.785,493.6
-353000,-7.609,205.32,493.55
-352900,-7.622,205.855,493.5
-352800,-7.63,206.39,493.36
-352700,-7.793,206.926,493.21
-352600,-7.906,207.461,493.07
-352500,-7.97,207.996,492.92
-352400,-7.917,208.531,492.78
-352300,-7.88,209.2,492.63
-352200,-7.86,209.211,492.48
-352100,-7.792,209.226,492.34
-352000,-7.745,209.241,492.19
-351900,-7.72,209.256,492.05
-351800,-7.794,209.27,491.83
-351700,-7.844,209.285,491.61
-351600,-7.87,209.3,491.4
-351500,-7.88,209.315,491.18
-351400,-7.887,209.33,490.96
-351300,-7.89,209.344,490.74
-351200,-7.86,209.359,490.52
-351100,-7.84,209.374,490.31
-351000,-7.83,209.389,490.09
-350900,-7.719,209.4,489.87
-350800,-7.61,210.087,489.58
-350700,-7.697,210.637,489.29
-350600,-7.865,211.187,489
-350500,-8.1,211.736,488.71
-350400,-7.954,212.286,488.42
-350300,-7.71,212.836,488.13
-350200,-7.36,213.385,487.84
-350100,-7.344,213.935,487.54
-350000,-7.316,214.485,487.25
-349900,-7.28,215.035,486.96
-349800,-7.26,215.584,486.62
-349700,-7.231,216.2,486.29
-349600,-7.2,216.51,485.95
-349500,-7.37,216.863,485.61
-349400,-7.559,217.215,485.27
-349300,-7.73,217.568,484.93
-349200,-7.274,217.92,484.59
-349100,-6.858,218.273,484.25
-349000,-6.52,218.625,483.91
-348900,-7.191,218.978,483.57
-348800,-8,219.33,483.23
-348700,-8.116,219.683,482.9
-348600,-8.32,220.035,482.56
-348500,-8.61,220.388,482.22
-348400,-8.634,220.74,481.88
-348300,-8.675,221.1,481.54
-348200,-8.715,221.066,481.2
-348100,-8.74,221.032,480.86
-348000,-8.478,220.997,480.52
-347900,-8.291,220.963,480.18
-347800,-8.14,220.928,479.92
-347700,-7.865,220.894,479.65
-347600,-7.634,220.859,479.38
-347500,-7.44,220.825,479.12
-347400,-7.867,220.79,478.85
-347300,-8.235,220.756,478.59
-347200,-8.49,220.721,478.32
-347100,-8.477,220.687,478.05
-347000,-8.468,220.652,477.79
-346900,-8.46,220.618,477.52
-346800,-8.289,220.583,477.33
-346700,-8.145,220.549,477.13
-346600,-8.01,220.514,476.94
-346500,-8.319,220.48,476.74
-346400,-8.609,220.445,476.55
-346300,-8.88,220.41,476.36
-346200,-8.732,220.376,476.16
-346100,-8.592,220.341,475.97
-346000,-8.43,220.3,475.78
-345900,-8.392,219.862,475.58
-345800,-8.347,219.314,475.58
-345700,-8.29,218.767,475.58
-345600,-8.386,218.219,475.58
-345500,-8.516,217.672,475.58
-345400,-8.69,217.124,475.58
-345300,-8.656,216.576,475.58
-345200,-8.606,216.029,475.58
-345100,-8.53,215.481,475.58
-345000,-8.58,214.934,475.58
-344900,-8.68,214.386,475.58
-344800,-8.779,213.839,475.75
-344700,-8.84,213.291,475.92
-344600,-8.844,212.743,476.09
-344500,-8.847,212.196,476.26
-344400,-8.85,211.9,476.43
-344300,-8.767,211.009,476.6
-344200,-8.697,210.4,476.77
-344100,-8.62,209.79,476.94
-344000,-8.739,209.18,477.11
-343900,-8.87,208.57,477.28
-343800,-9.03,207.96,477.69
-343700,-8.863,207.35,478.1
-343600,-8.646,206.74,478.51
-343500,-8.33,206.13,478.92
-343400,-8.472,205.52,479.34
-343300,-8.737,204.8,479.75
-343200,-9.003,204.822,480.16
-343100,-9.14,204.849,480.57
-343000,-9.07,204.876,480.98
-342900,-9.022,204.903,481.39
-342800,-8.98,204.93,482
-342700,-9.221,204.957,482.6
-342600,-9.438,204.984,483.21
-342500,-9.66,205.011,483.82
-342400,-9.535,205.038,484.42
-342300,-9.408,205.065,485.03
-342200,-9.22,205.092,485.63
-342100,-9.183,205.12,486.24
-342000,-9.113,205.147,486.84
-341900,-9.043,205.174,487.45
-341800,-8.99,205.2,488.25
-341700,-9.211,204.859,489.05
-341600,-9.389,204.525,489.85
-341500,-9.56,204.19,490.64
-341400,-9.441,203.856,491.44
-341300,-9.327,203.522,492.24
-341200,-9.18,203.187,493.04
-341100,-9.006,202.853,493.84
-341000,-8.762,202.519,494.64
-340900,-8.517,202.184,495.44
-340800,-8.39,201.85,496.41
-340700,-8.052,201.516,497.38
-340600,-7.71,201.181,498.34
-340500,-7.601,200.7,499.31
-340400,-7.384,203.089,500.28
-340300,-7.1,207.355,501.25
-340200,-7.064,211.621,502.22
-340100,-7.012,215.887,503.19
-340000,-6.96,220.153,504.16
-339900,-6.803,224.419,505.12
-339800,-6.644,228.685,506.17
-339700,-6.55,232.951,507.21
-339600,-6.363,237.217,508.25
-339500,-6.21,241.483,509.29
-339400,-6.12,245.749,510.33
-339300,-6.014,250.1,511.37
-339200,-5.95,249.283,512.41
-339100,-5.684,248.449,513.45
-339000,-5.5,247.615,514.5
-338900,-5.581,246.782,515.54
-338800,-5.68,245.948,516.63
-338700,-5.486,245.114,517.72
-338600,-5.222,244.28,518.81
-338500,-5.07,243.447,519.9
-338400,-4.764,242.613,520.99
-338300,-4.6,241.779,522.08
-338200,-4.317,240.945,523.17
-338100,-4.12,240.111,524.25
-338000,-4.04,239.278,525.34
-337900,-3.98,238.444,526.43
-337800,-3.703,237.61,527.43
-337700,-3.5,236.776,528.42
-337600,-3.29,235.943,529.41
-337500,-3.16,235.109,530.41
-337400,-3.167,234.2,531.4
-337300,-3.17,234.938,532.39
-337200,-2.78,235.749,533.38
-337100,-2.839,236.56,534.38
-337000,-2.94,237.37,535.37
-336900,-2.796,238.181,536.36
-336800,-2.65,238.992,537.21
-336700,-2.335,239.6,538.06
-336600,-2.17,239.956,538.9
-336500,-2.14,240.241,539.75
-336400,-2.04,240.526,540.6
-336300,-1.92,240.811,541.45
-336200,-1.621,241.096,542.29
-336100,-1.48,241.381,543.14
-336000,-0.95,241.666,543.99
-335900,-0.761,241.9,544.84
-335800,-0.66,244.481,545.47
-335700,-0.62,246.668,546.1
-335600,-0.07,248.855,546.73
-335500,0.333,251.042,547.36
-335400,0.8,253.229,547.99
-335300,0.53,255.7,548.62
-335200,1.15,258.089,549.24
-335100,1.36,260.835,549.87
-335000,1.464,263.581,550.5
-334900,1.61,266.326,551.13
-334800,1.6,269.072,551.45
-334700,2.04,270.5,551.76
-334600,2.81,272.962,552.08
-334500,2.87,274.625,552.39
-334400,2.69,276.288,552.71
-334300,3.09,278.6,553.02
-334200,2.9,279.784,553.34
-334100,3.268,281.725,553.65
-334000,3.7,283.665,553.97
-333900,3.01,285.8,554.28
-333800,2.955,284.441,554.26
-333700,2.9,282.931,554.23
-333600,3.35,281.422,554.21
-333500,3.23,279.912,554.18
-333400,3.34,278.1,554.16
-333300,3.75,281.658,554.14
-333200,3.48,286.104,554.11
-333100,3.19,290.551,554.09
-333000,3.19,294.998,554.06
-332900,2.54,298.6,554.04
-332800,2.53,295.944,553.68
-332700,3.27,293.712,553.31
-332600,2.77,291.48,552.95
-332500,2.32,288.4,552.59
-332400,2.01,288.645,552.22
-332300,1.83,289.1,551.86
-332200,1.808,287.43,551.5
-332100,1.79,285.465,551.13
-332000,0.88,283.5,550.77
-331900,1.02,282.4,550.41
-331800,1.03,279.753,549.73
-331700,0.574,277.915,549.05
-331600,0.26,276.078,548.37
-331500,0.05,274.24,547.69
-331400,-0.12,273.1,547.02
-331300,-0.11,273.001,546.34
-331200,-0.1,272.93,545.66
-331100,-0.34,272.858,544.98
-331000,0.067,272.786,544.3
-330900,0.35,272.715,543.63
-330800,0.32,272.643,542.68
-330700,0.71,272.6,541.74
-330600,0.434,272.363,540.79
-330500,0.15,272.194,539.85
-330400,0.97,272.025,538.9
-330300,0.96,271.856,537.96
-330200,0.941,271.7,537.02
-330100,0.92,270.713,536.07
-330000,0.77,269.799,535.13
-329900,0.47,268.885,534.18
-329800,0.48,267.971,533.04
-329700,0.49,267.057,531.91
-329600,0.78,266.143,530.77
-329500,0.1,265,529.63
-329400,0.42,265.604,528.49
-329300,0.79,266.41,527.35
-329200,0.2,267.215,526.22
-329100,0.41,268.02,525.08
-329000,0.629,268.826,523.94
-328900,1,269.631,522.8
-328800,1.11,270.437,521.54
-328700,1.36,271.242,520.28
-328600,1.36,272.048,519.02
-328500,1.36,272.853,517.77
-328400,0.66,273.658,516.51
-328300,0.8,274.464,515.25
-328200,0.75,275.1,513.99
-328100,0.7,274.486,512.73
-328000,0.79,273.979,511.47
-327900,0.57,273.472,510.21
-327800,0.889,272.965,508.98
-327700,1.19,272.458,507.74
-327600,1.04,271.9,506.51
-327500,0.41,271.638,505.27
-327400,0.441,271.347,504.04
-327300,0.46,271.055,502.8
-327200,0.39,270.764,501.57
-327100,0.7,270.473,500.33
-327000,0.405,270.1,499.1
-326900,0.16,269.658,497.86
-326800,0.43,269.043,496.72
-326700,0.61,268.429,495.58
-326600,0.59,267.814,494.45
-326500,0.57,267.2,493.31
-326400,0.31,266.585,492.17
-326300,0.57,266.1,491.03
-326200,0.566,265.677,489.89
-326100,0.56,265.328,488.76
-326000,1.31,264.978,487.62
-325900,0.72,264.629,486.48
-325800,0.77,264.28,485.51
-325700,0.85,264,484.54
-325600,0.44,264.353,483.57
-325500,-0.102,264.646,482.6
-325400,-0.55,264.94,481.64
-325300,0.19,265.234,480.67
-325200,0.02,265.527,479.7
-325100,-0.08,265.821,478.73
-325000,-0.24,266.2,477.76
-324900,-0.16,265.614,476.79
-324800,-0.292,264.79,476.07
-324700,-0.56,263.965,475.34
-324600,-0.342,263.14,474.61
-324500,-0.23,262.315,473.89
-324400,0.08,261.49,473.16
-324300,0.13,260.5,472.43
-324200,-0.066,260.479,471.71
-324100,-0.34,260.452,470.98
-324000,-0.84,260.426,470.26
-323900,-0.685,260.399,469.53
-323800,-0.43,260.373,469.14
-323700,-1.055,260.346,468.75
-323600,-1.4,260.32,468.37
-323500,-0.76,260.3,467.98
-323400,-0.854,260.317,467.59
-323300,-0.93,260.33,467.2
-323200,-1.13,260.343,466.82
-323100,-1.164,260.356,466.43
-323000,-1.21,260.369,466.04
-322900,-1.632,260.383,465.65
-322800,-1.88,260.4,465.61
-322700,-1.52,260.115,465.56
-322600,-1.446,259.689,465.51
-322500,-1.35,259.264,465.46
-322400,-1.709,258.838,465.41
-322300,-1.92,258.413,465.36
-322200,-1.93,257.987,465.32
-322100,-2.044,257.562,465.27
-322000,-2.24,257.2,465.22
-321900,-2.339,256.645,465.17
-321800,-2.44,256.162,465.41
-321700,-2.397,255.679,465.65
-321600,-2.37,255.196,465.9
-321500,-2.745,254.714,466.14
-321400,-2.9,254.231,466.38
-321300,-2.08,253.748,466.62
-321200,-2.46,253.265,466.87
-321100,-3.08,252.782,467.11
-321000,-3.035,252.3,467.35
-320900,-2.98,251.817,467.59
-320800,-3.061,251.334,468.17
-320700,-3.14,250.851,468.75
-320600,-3.277,250.368,469.34
-320500,-3.39,249.886,469.92
-320400,-3.848,249.2,470.5
-320300,-4.24,249.636,471.08
-320200,-4.018,250.388,471.66
-320100,-3.81,251.139,472.24
-320000,-3.921,251.891,472.82
-319900,-4.03,252.643,473.4
-319800,-4.207,253.395,474.18
-319700,-4.41,254.146,474.95
